127.0.0.1 - - [25/Jun/2019:17:05:51 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:05:52 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:05:54 +0900] "GET /20-board/loginForm.do HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:05:58 +0900] "GET /20-board/writeForm.do HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/image/lion.jpg HTTP/1.1" 200 15284
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/image/lion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:48 +0900] "GET /20-board/image/lion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:49 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:49 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:50 +0900] "GET /20-board/writeForm.do HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:52 +0900] "GET /20-board/boardList.do HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:06:57 +0900] "GET /20-board/writeForm.do HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:08:07 +0900] "GET /20-board/index.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [25/Jun/2019:17:08:09 +0900] "GET /20-board/loginForm.do HTTP/1.1" 404 1099
